Chrono;Fourn.;Article;UC;Prix brut;Validit
38;4010BOUL;A1826;Kg;Depuis le 27/08/2021, 3,5500 EUR/Kg;E
38;4010BOUL;A2275;P;Depuis le 01/01/2022, 2,7270 EUR/P;E
38;4010BOUL;A0589;P;Depuis le 01/01/2022, 0,1060 EUR/P;E
38;4010BOUL;A0009;P;Depuis le 01/01/2022, 3,3950 EUR/P;E
75;4010BOUR;A1007;RLX;Depuis le 29/06/2021, 19,9000 EUR/RLX;E
75;4010BOUR;A1008;P;Depuis le 29/06/2021, 3,3200 EUR/SCH;E
75;4010BOUR;A1009;P;Depuis le 29/06/2021, 44,7435 EUR/SCH;E
75;4010BOUR;A1004;P;Depuis le 29/06/2021, 18,2085 EUR/SCH;E
75;4010BOUR;A1005;P;Depuis le 29/06/2021, 16,7811 EUR/SCH;E
75;4010BOUR;A0011;P;Depuis le 29/06/2021, 3,6866 EUR/P;E
75;4010BOUR;A0438;U;Depuis le 29/06/2021, 3,8000 EUR/BTE;E
75;4010BOUR;A2096;U;Depuis le 27/08/2021, 3,8000 EUR/BTE;E
75;4010BOUR;A2098;U;Depuis le 29/06/2021, 3,8000 EUR/BTE;E
75;4010BOUR;A2101;U;Depuis le 27/08/2021, 3,8000 EUR/BTE;E
75;4010BOUR;A1003;P;Depuis le 29/06/2021, 0,1263 EUR/P;E
75;4010BOUR;A1006;P;Depuis le 29/06/2021, 10,9000 EUR/SCH;E
184;4010BOUR1;A0154;Kg;Depuis le 08/02/2022, 1,4000 EUR/Kg;E
59;4010BRASS;A0866;U;Depuis le 18/06/2021, 13,3900 EUR/PAK;E
59;4010BRASS;A2562;Kg;Depuis le 10/02/2022, 10,0000 EUR/Kg;E
59;4010BRASS;A2257;U;Depuis le 17/11/2021, 18,5100 EUR/PAK;E
59;4010BRASS;A2170;U;Depuis le 11/10/2021, 16,3500 EUR/PAK;E
59;4010BRASS;A2066;U;Depuis le 20/09/2021, 20,0200 EUR/PAK;E
59;4010BRASS;A1607;U;Depuis le 20/09/2021, 17,6500 EUR/PAK;E
59;4010BRASS;A1606;U;Depuis le 26/08/2021, 19,3200 EUR/PAK;E
59;4010BRASS;A0862;U;Depuis le 18/06/2021, 1,6461 EUR/U;E
59;4010BRASS;A1605;U;Depuis le 26/08/2021, 1,9763 EUR/PAK;E
59;4010BRASS;A2217;U;Depuis le 03/11/2021, 20,9400 EUR/PAK;E
59;4010BRASS;A2183;U;Depuis le 19/10/2021, 10,2000 EUR/PAK;E
59;4010BRASS;A1783;U;Depuis le 26/08/2021, 18,1300 EUR/PAK;E
59;4010BRASS;A1801;U;Depuis le 15/10/2021, 14,8600 EUR/PAK;E
59;4010BRASS;A2169;L;Depuis le 11/10/2021, 31,1500 EUR/U;E
59;4010BRASS;A1018;U;Depuis le 13/10/2021, 22,9900 EUR/PAK;E
59;4010BRASS;A2185;U;Depuis le 19/10/2021, 18,5500 EUR/PAK;E
59;4010BRASS;A2218;U;Depuis le 03/11/2021, 18,5500 EUR/PAK;E
59;4010BRASS;A2068;U;Depuis le 20/09/2021, 21,3300 EUR/PAK;E
59;4010BRASS;A0864;U;Depuis le 18/06/2021, 1,9918 EUR/U;E
59;4010BRASS;A1667;U;Depuis le 26/08/2021, 22,5500 EUR/PAK;E
59;4010BRASS;A2184;U;Depuis le 19/10/2021, 17,4600 EUR/PAK;E
59;4010BRASS;A1784;U;Depuis le 26/08/2021, 10,9600 EUR/PAK;E
59;4010BRASS;A2067;U;Depuis le 20/09/2021, 18,8200 EUR/PAK;E
59;4010BRASS;A1628;U;Depuis le 19/10/2021, 16,2300 EUR/PAK;E
59;4010BRASS;A0863;U;Depuis le 18/06/2021, 1,9763 EUR/U;E
59;4010BRASS;A2176;U;Depuis le 15/10/2021, 5,4800 EUR/PAK;E
59;4010BRASS;A1802;U;Depuis le 27/10/2021, 14,8600 EUR/PAK;E
59;4010BRASS;A0865;U;Depuis le 18/06/2021, 1,6755 EUR/U;E
59;4010BRASS;A1715;U;Depuis le 26/08/2021, 18,1300 EUR/PAK;E
36;4010BRIOCH;A0571;P;Depuis le 09/06/2021, 0,4400 EUR/P;E
36;4010BRIOCH;A0572;P;Depuis le 09/06/2021, 3,2200 EUR/P;E
28;4010C2PACK;A0565;P;Depuis le 09/06/2021, 0,0690 EUR/P;E
28;4010C2PACK;A0566;P;Depuis le 09/06/2021, 0,0760 EUR/P;E
28;4010C2PACK;A0567;P;Depuis le 09/06/2021, 7,4500 EUR/P;E
137;4010CAFEBO;A2006;Kg;Depuis le 08/09/2021, 250,0000 EUR/Kg;E
138;4010CARSTP;A2007;Kg;Depuis le 08/09/2021, 2,4900 EUR/POT;E
138;4010CARSTP;A2160;Kg;Depuis le 08/10/2021, 3,7900 EUR/POT;E
138;4010CARSTP;A2161;Kg;Depuis le 08/10/2021, 2,1900 EUR/POT;E
138;4010CARSTP;A2162;Kg;Depuis le 08/10/2021, 2,1900 EUR/POT;E
43;4010CART;A0024;P;Depuis le 24/06/2021, 1,3000 EUR/P;E
43;4010CART;A0027;P;Depuis le 24/06/2021, 1,4700 EUR/P;E
43;4010CART;A0906;P;Depuis le 24/06/2021, 0,9500 EUR/P;E
43;4010CART;A0023;P;Depuis le 24/06/2021, 1,3500 EUR/P;E
95;4010CASTAD;A1308;Kg;Depuis le 05/07/2021, 42,5000 EUR/COL;E
88;4010CAUDAL;A1075;U;Depuis le 01/07/2021, 22,7200 EUR/U;E
88;4010CAUDAL;A1076;U;Depuis le 01/07/2021, 24,2800 EUR/U;E
139;4010CGF;A2008;Kg;Depuis le 08/09/2021, 12,0000 EUR/Kg;E
77;4010CHANE;A1010;U;Depuis le 01/01/2022, 14,6400 EUR/CAR;E
77;4010CHANE;A1294;U;Depuis le 01/01/2022, 17,7400 EUR/PAK;E
77;4010CHANE;A1392;U;Depuis le 01/01/2022, 17,7400 EUR/PAK;E
77;4010CHANE;A1011;U;Depuis le 01/01/2022, 14,6400 EUR/CAR;E
